admin1,year,week,fatalities,attack_count,latitude,longitude
Boucle du Mouhoun,2017,28,1,2,12.9905,-3.7159500000000003
Boucle du Mouhoun,2017,35,1,1,13.1221,-4.1563
Boucle du Mouhoun,2017,39,0,1,13.3799,-3.2008
Boucle du Mouhoun,2017,52,3,2,13.32685,-3.33315
Boucle du Mouhoun,2018,1,0,1,13.3799,-3.2008
Boucle du Mouhoun,2018,11,1,1,13.169,-3.4151
Boucle du Mouhoun,2018,15,0,1,12.7384,-3.8677
Boucle du Mouhoun,2018,18,0,1,13.1064,-4.3273
Boucle du Mouhoun,2018,33,2,1,12.1337,-3.6485
Boucle du Mouhoun,2018,42,2,1,13.1691,-3.8899
Boucle du Mouhoun,2018,43,0,1,11.7472,-3.2951
Boucle du Mouhoun,2018,47,0,2,13.16415,-3.6697499999999996
Boucle du Mouhoun,2018,48,0,1,13.4846,-2.7764
Boucle du Mouhoun,2018,49,2,3,13.352166666666667,-2.940933333333333
Boucle du Mouhoun,2018,51,0,1,12.8258,-3.4932
Boucle du Mouhoun,2018,52,10,2,13.3799,-3.2008
Boucle du Mouhoun,2019,1,5,1,13.3799,-3.2008
Boucle du Mouhoun,2019,5,0,1,13.3448,-3.7982
Boucle du Mouhoun,2019,11,2,1,13.5003,-3.1695
Boucle du Mouhoun,2019,12,0,1,12.4634,-3.4608
Boucle du Mouhoun,2019,13,4,1,13.1691,-3.8899
Boucle du Mouhoun,2019,14,0,3,13.4497,-2.917866666666667
Boucle du Mouhoun,2019,20,3,1,12.987,-3.7673
Boucle du Mouhoun,2019,21,2,1,13.4359,-2.8301
Boucle du Mouhoun,2019,23,3,3,12.579933333333335,-3.2794333333333334
Boucle du Mouhoun,2019,26,13,1,13.3448,-3.7982
Boucle du Mouhoun,2019,29,0,3,12.983600000000001,-3.9080333333333335
Boucle du Mouhoun,2019,30,0,1,13.4975,-2.8814
Boucle du Mouhoun,2019,33,4,1,13.3799,-3.2008
Boucle du Mouhoun,2019,36,0,1,13.2267,-3.9535
Boucle du Mouhoun,2019,38,5,1,13.3799,-3.2008
Boucle du Mouhoun,2019,41,1,1,13.4846,-2.7764
Boucle du Mouhoun,2019,42,0,2,13.12665,-3.38285
Boucle du Mouhoun,2019,44,1,1,12.4087,-3.811
Boucle du Mouhoun,2019,46,3,2,13.09,-3.8852
Boucle du Mouhoun,2019,48,0,1,12.5667,-3.6333
Boucle du Mouhoun,2019,49,24,1,13.3799,-3.2008
Boucle du Mouhoun,2019,50,1,2,13.14005,-3.0076
Boucle du Mouhoun,2019,52,0,1,13.169,-3.4151
Boucle du Mouhoun,2020,1,15,2,13.376,-3.19775
Boucle du Mouhoun,2020,2,9,1,12.987,-3.7673
Boucle du Mouhoun,2020,3,0,1,13.3721,-3.1947
Boucle du Mouhoun,2020,4,0,1,12.6598,-3.4948
Boucle du Mouhoun,2020,5,10,2,13.2346,-3.1350499999999997
Boucle du Mouhoun,2020,6,30,2,13.343350000000001,-3.8733000000000004
Boucle du Mouhoun,2020,7,0,1,12.5,-3.7
Boucle du Mouhoun,2020,12,0,1,12.6667,-3.5833
Boucle du Mouhoun,2020,13,3,1,13.4846,-2.7764
Boucle du Mouhoun,2020,14,19,2,13.226199999999999,-3.1351
Boucle du Mouhoun,2020,15,0,1,13.4367,-3.9395
Boucle du Mouhoun,2020,16,1,1,13.0986,-3.8498
Boucle du Mouhoun,2020,17,1,1,13.3628,-3.8732
Boucle du Mouhoun,2020,21,7,3,13.0007,-3.7934666666666668
Boucle du Mouhoun,2020,22,10,1,13.4022,-3.0943
Boucle du Mouhoun,2020,24,1,1,13.169,-3.4151
Boucle du Mouhoun,2020,26,8,2,13.307549999999999,-3.85595
Boucle du Mouhoun,2020,27,0,1,12.6672,-3.6123
Boucle du Mouhoun,2020,29,2,1,11.745,-2.93
Boucle du Mouhoun,2020,30,2,2,13.048950000000001,-3.6146000000000003
Boucle du Mouhoun,2020,33,9,5,13.22356,-3.9622
Boucle du Mouhoun,2020,35,0,1,12.6442,-3.7684
Boucle du Mouhoun,2020,38,2,2,13.144200000000001,-3.8715
Boucle du Mouhoun,2020,39,6,3,13.041633333333332,-3.7237666666666662
Boucle du Mouhoun,2020,40,3,1,13.3681,-3.9717
Boucle du Mouhoun,2020,41,0,1,13.248,-2.5843
Boucle du Mouhoun,2020,44,1,1,13.4481,-3.9518
Boucle du Mouhoun,2020,45,0,1,13.0725,-3.0694
Boucle du Mouhoun,2020,49,0,1,12.429,-3.5186
Boucle du Mouhoun,2021,1,0,1,12.5591,-3.8362
Boucle du Mouhoun,2021,2,0,1,13.169,-3.4151
Boucle du Mouhoun,2021,3,0,2,13.194500000000001,-3.2515
Boucle du Mouhoun,2021,4,0,1,13.4846,-2.7764
Boucle du Mouhoun,2021,6,0,1,13.4975,-2.8814
Boucle du Mouhoun,2021,7,0,1,13.5261,-2.9522
Boucle du Mouhoun,2021,14,0,4,13.313525,-3.233325
Boucle du Mouhoun,2021,15,0,2,13.5999,-3.20425
Boucle du Mouhoun,2021,19,0,2,13.02655,-3.59835
Boucle du Mouhoun,2021,20,0,3,12.945100000000002,-3.6351999999999998
Boucle du Mouhoun,2021,23,0,1,13.169,-3.4151
Boucle du Mouhoun,2021,24,0,2,12.4466,-3.3148
Boucle du Mouhoun,2021,25,0,1,13.3799,-3.2008
Boucle du Mouhoun,2021,27,0,1,13.6204,-3.2461
Boucle du Mouhoun,2021,28,0,4,13.31605,-3.396025
Boucle du Mouhoun,2021,29,0,1,13.5003,-3.1695
Boucle du Mouhoun,2021,30,0,1,12.987,-3.7673
Boucle du Mouhoun,2021,31,15,3,12.879600000000002,-3.4647
Boucle du Mouhoun,2021,32,0,2,12.986049999999999,-3.4054
Boucle du Mouhoun,2021,35,3,4,13.268374999999999,-3.3067
Boucle du Mouhoun,2021,36,0,3,13.072033333333332,-3.4093999999999998
Boucle du Mouhoun,2021,41,0,2,13.0669,-3.1771
Boucle du Mouhoun,2021,42,0,7,12.834,-3.5968714285714287
Boucle du Mouhoun,2021,43,21,7,13.060785714285714,-3.4438999999999997
Boucle du Mouhoun,2021,44,0,1,12.8258,-3.4932
Boucle du Mouhoun,2021,45,0,2,13.00095,-3.8423499999999997
Boucle du Mouhoun,2021,46,7,3,13.313566666666667,-3.406366666666667
Boucle du Mouhoun,2021,47,0,5,12.81036,-3.7723199999999997
Boucle du Mouhoun,2021,48,0,4,13.080224999999999,-3.724025
Boucle du Mouhoun,2021,49,0,5,13.0412,-3.1605800000000004
Boucle du Mouhoun,2021,50,0,2,13.3424,-3.19965
Boucle du Mouhoun,2021,51,6,6,13.2945,-3.2717000000000005
Boucle du Mouhoun,2021,52,7,4,13.19985,-3.254725
Boucle du Mouhoun,2021,53,0,1,13.2269,-3.2388
Boucle du Mouhoun,2022,2,2,3,12.560966666666667,-3.5394
Boucle du Mouhoun,2022,3,1,1,13.4022,-3.0943
Boucle du Mouhoun,2022,5,0,2,12.7132,-3.3927
Boucle du Mouhoun,2022,6,16,5,12.69666,-3.6335
Boucle du Mouhoun,2022,7,2,3,13.240466666666668,-3.3826
Boucle du Mouhoun,2022,8,8,3,12.700366666666667,-3.5872000000000006
Boucle du Mouhoun,2022,9,13,4,13.176525,-3.5246750000000002
Boucle du Mouhoun,2022,10,5,4,13.031075,-3.3103
Boucle du Mouhoun,2022,11,4,1,12.5851,-3.3002
Boucle du Mouhoun,2022,12,0,2,12.4539,-3.4335
Boucle du Mouhoun,2022,13,0,1,13.5721,-3.1459
Boucle du Mouhoun,2022,14,2,1,13.2367,-3.1658
Boucle du Mouhoun,2022,15,0,2,12.42735,-4.07425
Boucle du Mouhoun,2022,16,0,1,12.18,-4.09
Boucle du Mouhoun,2022,17,0,1,13.169,-3.4151
Boucle du Mouhoun,2022,18,8,4,12.788075,-3.729775
Boucle du Mouhoun,2022,19,7,3,13.008033333333335,-3.3854
Boucle du Mouhoun,2022,20,0,3,12.8887,-3.5401000000000002
Boucle du Mouhoun,2022,21,44,8,12.6649,-3.6636375
Boucle du Mouhoun,2022,22,20,2,12.92615,-3.4992
Boucle du Mouhoun,2022,23,16,3,12.888300000000001,-3.7851999999999997
Boucle du Mouhoun,2022,24,0,1,13.1691,-3.8899
Boucle du Mouhoun,2022,26,23,3,12.766133333333334,-3.6002666666666667
Boucle du Mouhoun,2022,27,2,2,12.60425,-3.54005
Boucle du Mouhoun,2022,28,0,1,12.5996,-3.2715
Boucle du Mouhoun,2022,29,5,4,13.4017,-2.8824500000000004
Boucle du Mouhoun,2022,30,5,6,12.91205,-3.53595
Boucle du Mouhoun,2022,31,3,7,13.216257142857144,-3.1156285714285716
Boucle du Mouhoun,2022,32,1,6,12.65775,-3.641633333333333
